Date,Open,High,Low,Close,Volume
8-Nov-17,153.10,153.95,150.90,151.10,115844
7-Nov-17,155.65,155.65,152.70,153.25,106486
6-Nov-17,154.25,155.10,152.85,155.10,85705
3-Nov-17,156.75,156.80,153.10,153.50,114384
2-Nov-17,155.50,158.10,154.15,156.90,171252
1-Nov-17,151.45,155.20,150.25,155.00,179319
30-Oct-17,151.30,152.50,150.65,151.50,129645
27-Oct-17,151.05,152.40,149.75,151.20,122646
26-Oct-17,147.40,151.55,146.80,150.50,125908
25-Oct-17,148.25,148.75,146.65,147.45,102441
24-Oct-17,150.30,152.10,148.20,148.75,79758
23-Oct-17,150.30,151.05,149.45,150.30,57531
20-Oct-17,150.45,151.50,148.65,150.15,133386
19-Oct-17,150.60,152.25,149.00,149.05,240864
18-Oct-17,150.00,158.00,144.20,151.00,658077
17-Oct-17,147.55,150.95,146.15,149.45,247042
16-Oct-17,143.90,146.45,142.70,144.85,134222
13-Oct-17,138.35,140.75,137.85,140.00,126132
12-Oct-17,140.65,141.10,138.30,139.55,93449
11-Oct-17,141.60,142.05,137.15,139.90,212402
10-Oct-17,142.25,142.25,140.70,141.90,70304
9-Oct-17,142.15,144.00,140.95,141.25,72926
6-Oct-17,142.20,144.40,141.35,143.35,97478
5-Oct-17,140.75,143.40,140.50,143.40,96954
4-Oct-17,144.15,145.65,141.45,141.75,118603
2-Oct-17,142.55,144.55,142.30,143.85,70033
29-Sep-17,143.00,143.75,141.00,142.75,86194
28-Sep-17,140.20,142.90,138.20,142.90,124437
27-Sep-17,137.45,140.20,137.30,139.70,100882
26-Sep-17,137.30,138.60,137.20,137.80,87250
25-Sep-17,138.10,138.85,136.50,137.75,94862
22-Sep-17,139.05,139.60,137.60,139.30,80062
21-Sep-17,137.00,139.35,135.15,139.30,162925
20-Sep-17,146.00,146.15,132.50,136.55,357864
19-Sep-17,147.90,149.55,146.75,147.00,70672
18-Sep-17,148.50,149.00,147.70,148.20,49716
15-Sep-17,147.30,149.25,146.90,148.00,106663
14-Sep-17,146.70,148.05,146.40,147.40,71425
13-Sep-17,147.10,147.55,146.50,147.10,67258
12-Sep-17,148.25,148.95,147.00,147.30,59127
11-Sep-17,148.00,148.65,147.45,148.25,70268
8-Sep-17,147.60,147.65,146.70,147.35,44494
7-Sep-17,147.10,148.75,147.00,148.10,41185
6-Sep-17,147.65,147.85,146.25,147.05,56099
5-Sep-17,147.90,149.70,147.70,148.65,46372
4-Sep-17,147.60,148.80,146.05,147.80,76578
1-Sep-17,148.45,150.75,148.45,149.90,68366
31-Aug-17,148.70,148.90,147.55,148.05,64658
30-Aug-17,146.60,147.85,146.20,147.85,71200
29-Aug-17,147.00,147.30,145.10,146.05,52852
28-Aug-17,148.50,149.00,147.70,147.80,24917
25-Aug-17,149.20,150.50,148.55,149.25,36089
24-Aug-17,151.85,152.00,149.50,149.50,46336
23-Aug-17,152.00,152.75,151.35,151.40,58558
22-Aug-17,150.35,152.45,150.00,152.00,51099
21-Aug-17,150.40,151.40,149.35,149.90,46813
18-Aug-17,150.10,151.05,149.60,151.05,55615
17-Aug-17,151.95,152.80,151.35,151.65,44589
16-Aug-17,151.10,152.90,151.10,152.70,55550
15-Aug-17,150.45,151.80,149.75,150.40,36460
14-Aug-17,148.80,150.95,148.80,150.05,62058
11-Aug-17,148.00,148.10,146.55,147.85,52121
10-Aug-17,150.30,150.50,148.35,148.70,55828
9-Aug-17,150.30,151.55,149.35,150.55,77124
8-Aug-17,151.10,152.15,149.85,151.30,80768
7-Aug-17,150.50,151.60,150.20,151.40,60051
4-Aug-17,149.00,150.90,148.65,150.50,68695
3-Aug-17,148.95,150.00,148.25,149.45,51762
2-Aug-17,149.80,150.00,148.45,149.30,98296
1-Aug-17,150.55,151.25,149.60,150.30,122097
31-Jul-17,151.35,152.05,150.65,151.00,106861
28-Jul-17,149.00,151.50,148.80,151.50,109321
27-Jul-17,150.40,151.85,148.90,150.40,82201
26-Jul-17,151.10,152.90,150.15,151.20,78455
25-Jul-17,151.00,152.45,149.15,151.65,91075
24-Jul-17,149.55,150.75,147.75,149.70,110942
21-Jul-17,157.90,157.90,147.65,149.95,243020
20-Jul-17,160.75,162.40,158.50,158.60,130785
19-Jul-17,158.15,160.75,157.70,160.25,82847
18-Jul-17,157.50,159.15,156.70,157.25,63269
17-Jul-17,158.15,159.20,157.80,158.00,42766
14-Jul-17,157.65,158.65,156.65,158.10,62298
13-Jul-17,156.90,158.20,156.30,157.90,100913
12-Jul-17,154.50,157.20,154.50,156.95,50498
11-Jul-17,156.40,157.20,154.30,154.50,74101
10-Jul-17,155.00,157.35,154.55,156.25,80549
