Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-09-13,09:05:00,53.82,53.82,53.82,53.82,12,0
2017-09-13,09:30:00,54.08,54.09,54.08,54.09,213,0
2017-09-13,09:55:00,54,54,54,54,9,0
2017-09-13,10:50:00,54.09,54.1,53.95,53.95,291,0
2017-09-13,11:05:00,53.86,53.86,53.86,53.86,7,0
2017-09-13,11:10:00,53.86,53.86,53.86,53.86,12,0
2017-09-13,11:15:00,53.87,53.87,53.87,53.87,11,0
2017-09-13,11:20:00,53.87,53.87,53.87,53.87,5,0
2017-09-13,11:25:00,54.02,54.03,54.02,54.02,71,0
2017-09-13,12:05:00,54.18,54.18,54.18,54.18,126,0
2017-09-13,12:20:00,54,54,54,54,5,0
2017-09-13,13:20:00,53.85,53.94,53.85,53.94,45,0
2017-09-13,13:25:00,54.07,54.07,54.07,54.07,4,0
2017-09-13,14:05:00,53.9,53.9,53.9,53.9,2,0
2017-09-13,14:10:00,53.9,53.9,53.9,53.9,11,0
2017-09-13,14:50:00,53.88,53.88,53.88,53.88,15,0
2017-09-13,15:15:00,53.88,53.88,53.88,53.88,2,0
2017-09-13,15:30:00,53.88,53.88,53.88,53.88,6,0
2017-09-13,15:35:00,53.88,54,53.88,54,149,0
2017-09-13,15:45:00,54.12,54.12,54.12,54.12,60,0
2017-09-13,16:45:00,53.92,53.92,53.92,53.92,2,0
2017-09-13,16:50:00,53.92,54.08,53.92,54.08,26,0
2017-09-13,17:00:00,54,54,54,54,18,0
2017-09-13,17:05:00,54,54,54,54,72,0
2017-09-13,17:15:00,54,54,54,54,19,0
2017-09-13,17:20:00,54,54,54,54,94,0
2017-09-13,17:25:00,54,54,54,54,33,0
2017-09-13,17:30:00,54,54.03,54,54,113,0
2017-09-14,09:05:00,54.14,54.14,54.14,54.14,2,0
2017-09-14,09:20:00,54.13,54.13,53.98,53.98,233,0
2017-09-14,10:35:00,54.07,54.28,54.07,54.26,94,0
2017-09-14,10:40:00,54.26,54.4,54.26,54.26,52,0
2017-09-14,11:15:00,54.21,54.21,54.06,54.06,390,0
2017-09-14,11:25:00,54.26,54.26,54.26,54.26,90,0
2017-09-14,12:20:00,54.4,54.42,54.4,54.41,64,0
2017-09-14,12:50:00,54.64,54.8,54.64,54.75,991,0
2017-09-14,12:55:00,54.75,54.88,54.75,54.83,285,0
2017-09-14,13:00:00,54.88,54.88,54.88,54.88,280,0
2017-09-14,13:15:00,54.87,54.87,54.87,54.87,37,0
2017-09-14,13:20:00,54.6,54.6,54.6,54.6,3,0
2017-09-14,13:25:00,54.8,54.87,54.8,54.87,61,0
2017-09-14,13:30:00,54.87,54.87,54.87,54.87,33,0
2017-09-14,13:50:00,55.04,55.26,55.04,55.25,665,0
2017-09-14,14:00:00,55.25,55.25,55.25,55.25,27,0
2017-09-14,14:05:00,55.09,55.09,55.08,55.08,140,0
2017-09-14,14:15:00,55.17,55.2,55.17,55.2,104,0
2017-09-14,14:25:00,55.15,55.2,55.15,55.2,5,0
2017-09-14,14:30:00,55.2,55.2,55.2,55.2,23,0
2017-09-14,14:45:00,55.25,55.25,55.25,55.25,59,0
2017-09-14,15:00:00,55.26,55.41,55.26,55.41,208,0
2017-09-14,15:05:00,55.27,55.27,55.27,55.27,107,0
2017-09-14,15:30:00,55.26,55.64,55.26,55.64,239,0
2017-09-14,15:55:00,55.83,55.97,55.83,55.97,77,0
2017-09-14,16:00:00,55.95,55.95,55.95,55.95,40,0
2017-09-14,16:30:00,56.21,56.22,56.21,56.22,75,0
2017-09-14,16:35:00,56.15,56.33,56.15,56.33,154,0
2017-09-14,16:40:00,56.1,56.1,56.1,56.1,50,0
2017-09-14,16:55:00,56.32,56.32,56.32,56.32,56,0
2017-09-14,17:00:00,56.09,56.09,56.09,56.09,6,0
2017-09-14,17:10:00,56.09,56.09,56.09,56.09,23,0
2017-09-14,17:20:00,55.95,55.95,55.79,55.79,15,0
